128 0.4 [0.359, 0.36]
96 0.4 [1.399, 1.691]
96 0.4 [1.399, 1.691]
96 0.3125 [0.175, 0.082]
128 0.3125 [0.27, 0.118]
96 0.3375 [0.301, 0.251]
128 0.3375 [0.312, 0.299]
96 0.425 [0.381, 0.379]
128 0.425 [0.419, 0.419]
96 0.45 [2.0, 2.0]
128 0.45 [1.063, 1.166]
96 0.475 [0.527, 0.532]
128 0.475 [0.495, 0.498]
128 0.45 [1.063, 1.166]
128 0.45 [1.063, 1.166]
160 0.4 [0.54, 0.559]
192 0.5 [1.027, 1.117]
192 0.5 [1.027, 1.117]
96 0.375 [0.352, 0.351]
128 0.375 [0.339, 0.338]
128 0.475 [0.495, 0.498]
128 0.475 [0.495, 0.498]
96 0.4875 [0.551, 0.556]
128 0.4875 [0.612, 0.634]
