64 0.1 128 c 0.0 winners [(2, 'ordered'), (4, 'exponential')]
64 0.15 128 c 0.0 winners [(2, 'ordered'), (4, 'exponential')]
64 0.2 128 c 0.0 winners [(2, 'ordered'), (4, 'exponential')]
64 0.25 128 c 0.001 winners [(2, 'ordered'), (4, 'exponential')]
64 0.3 128 c -0.0 winners [(2, 'ordered'), (4, 'exponential')]
64 0.35 128 c 0.754 winners [(2, 'power'), (4, 'power')]
64 0.4 128 c 1.048 winners [(2, 'ordered'), (4, 'ordered')]
64 0.45 128 c 1.21 winners [(2, 'power'), (4, 'power')]
64 0.5 128 c 1.054 winners [(2, 'power'), (4, 'power')]
64 0.55 128 c 0.771 winners [(2, 'power'), (4, 'power')]
64 0.6 128 c 0.508 winners [(2, 'power'), (4, 'power')]
64 0.65 128 c 0.283 winners [(2, 'power'), (4, 'exponential')]
64 0.7 128 c 0.143 winners [(2, 'exponential'), (4, 'exponential')]
64 0.75 128 c 0.071 winners [(2, 'exponential'), (4, 'exponential')]
64 0.8 128 c 0.035 winners [(2, 'exponential'), (4, 'exponential')]
