2026-09-22 21:54:13 -0400 Sleep               	Entering Sleep state due to 'Clamshell Sleep':TCPKeepAlive=active Using Batt (Charge:100%) 27 secs   
2026-09-22 21:54:40 -0400 DarkWake            	DarkWake from Deep Idle [CDNP] : due to wifibt SMC.OutboxNotEmpty/ Using BATT (Charge:100%) 8 secs    
2026-09-22 21:54:48 -0400 Sleep               	Entering Sleep state due to 'Thermal Emergency Sleep':TCPKeepAlive=inactive Using Batt (Charge:100%) 9 secs    
2026-09-22 21:54:57 -0400 DarkWake            	DarkWake from Deep Idle [CDNP] : due to wifibt SMC.OutboxNotEmpty/ Using BATT (Charge:100%) 8 secs    
2026-09-22 21:55:05 -0400 Sleep               	Entering Sleep state due to 'Thermal Emergency Sleep':TCPKeepAlive=inactive Using Batt (Charge:100%) 28 secs   
2026-09-22 21:55:33 -0400 DarkWake            	DarkWake from Deep Idle [CDNP] : due to wifibt SMC.OutboxNotEmpty/ Using BATT (Charge:100%) 45 secs   
2026-09-22 21:56:18 -0400 Sleep               	Entering Sleep state due to 'Maintenance Sleep':TCPKeepAlive=inactive Using Batt (Charge:100%) 41 secs   
2026-09-22 21:56:59 -0400 DarkWake            	DarkWake from Deep Idle [CDNP] : due to wifibt SMC.OutboxNotEmpty/ Using BATT (Charge:100%) 45 secs   
2026-09-22 21:57:44 -0400 Sleep               	Entering Sleep state due to 'Maintenance Sleep':TCPKeepAlive=inactive Using Batt (Charge:100%) 47 secs   
2026-09-22 21:58:31 -0400 DarkWake            	DarkWake from Deep Idle [CDNP] : due to wifibt SMC.OutboxNotEmpty/ Using BATT (Charge:100%) 45 secs   
2026-09-22 21:59:16 -0400 Sleep               	Entering Sleep state due to 'Maintenance Sleep':TCPKeepAlive=inactive Using Batt (Charge:100%) 98 secs   
2026-09-22 22:00:54 -0400 DarkWake            	DarkWake from Deep Idle [CDNP] : due to wifibt SMC.OutboxNotEmpty/ Using BATT (Charge:100%) 45 secs   
2026-09-22 22:01:39 -0400 Sleep               	Entering Sleep state due to 'Maintenance Sleep':TCPKeepAlive=inactive Using Batt (Charge:100%) 18 secs   
2026-09-22 22:01:57 -0400 Wake                	Wake from Deep Idle [CDNVA] : due to lid SMC.OutboxNotEmpty RTP.multi-touch/HID Activity Using BATT (Charge:100%)           
