category,record,archive,n,kappa,h,p,seconds,nfev,nit,pool_gradient_evaluations,simulated_shots,gate_weighted_simulated_shots,shared_counts_source,disposition,record_sha256
new_candidate_optimization,results/stage6_v1/domain_wall_candidates/cache/0006b2de4345f6ecedf589658e2420234280856a25b21ad4592bf76cc8f56f5f.json,results/stage6_v1/domain_wall_candidates/cache/0006b2de4345f6ecedf589658e2420234280856a25b21ad4592bf76cc8f56f5f.npz,8,0.1,0.2,,22.90982991695637,33802,30016,8007,0,0,,newly_executed,56e1decfd06cabc56bb91eb8c14a6dcbcca31b1bbf6dc5446fca4271f7bb0ee4
new_candidate_optimization,results/stage6_v1/domain_wall_candidates/cache/000e16d24583d1ee11cbe9d96363784ed605f7137b3d49dfe12c0834ca84fc9e.json,results/stage6_v1/domain_wall_candidates/cache/000e16d24583d1ee11cbe9d96363784ed605f7137b3d49dfe12c0834ca84fc9e.npz,8,0.8,0.6625,,0.9339262910070829,2780,2543,2496,0,0,,newly_executed,8cf2769186f595a181cb610f7d1573917f54b38bb77a67f73c1ead8fe55940ca
new_candidate_optimization,results/stage6_v1/domain_wall_candidates/cache/002999e762edaf739e27fd9008b975017a1d1fc749701e641d6d3017b85bda9e.json,results/stage6_v1/domain_wall_candidates/cache/002999e762edaf739e27fd9008b975017a1d1fc749701e641d6d3017b85bda9e.npz,8,0.5,0.2,,2.6355677919927984,6296,5892,2880,0,0,,newly_executed,043a6c36427b9634a87e89891ef694c2b6d0bc7e0d9d05f3662f325e0f1cb27c
new_candidate_optimization,results/stage6_v1/domain_wall_candidates/cache/003aa53e66f5e994716580d92f4cb504f5ccf6c844cf4be29e218318e986de59.json,results/stage6_v1/domain_wall_candidates/cache/003aa53e66f5e994716580d92f4cb504f5ccf6c844cf4be29e218318e986de59.npz,8,0.491,0.138,,12.573089250014164,25347,23066,5304,0,0,,newly_executed,377195da0514925767268c7e8a0140ca91f4ac3ad5f03498fda88252f083e5ae
new_candidate_optimization,results/stage6_v1/domain_wall_candidates/cache/004254b91e5d1552e858b152841bd277ec445625455041873f0e61ebbaa4c51f.json,results/stage6_v1/domain_wall_candidates/cache/004254b91e5d1552e858b152841bd277ec445625455041873f0e61ebbaa4c51f.npz,8,0.8,1.1,,2.450442041037604,4135,3872,2400,0,0,,newly_executed,354af5716a51e3b7a78d02456014a7b7c6a62e66f709b3f7df32bc1ef5ab15ef
new_candidate_optimization,results/stage6_v1/domain_wall_candidates/cache/004cc1917d9e1569689a2bd7bf7ed2eeac24cffb8661fc904f6f3be0cf396002.json,results/stage6_v1/domain_wall_candidates/cache/004cc1917d9e1569689a2bd7bf7ed2eeac24cffb8661fc904f6f3be0cf396002.npz,8,0.507,0.044,,4.553523541020695,10988,9911,2736,0,0,,newly_executed,f07c7a6d00efc42e956e83ebe7ea1b87f8c97a19c08f3ce296159999a33fb49f
new_candidate_optimization,results/stage6_v1/domain_wall_candidates/cache/00537ead43289b13344b864f46f5f6c405f23510b70db0e34f5ed33f8b596854.json,results/stage6_v1/domain_wall_candidates/cache/00537ead43289b13344b864f46f5f6c405f23510b70db0e34f5ed33f8b596854.npz,8,0.5,0.01,,0.01708316704025492,115,79,624,0,0,,newly_executed,8d9af2381865cd09246b313e2dc1b6b8e3828e9344784f2c7f20f61f2c41297e
new_candidate_optimization,results/stage6_v1/domain_wall_candidates/cache/0061a1dd31332cc1b712c8ab45540b2285add6f5d3c6617fccd6296334504e28.json,results/stage6_v1/domain_wall_candidates/cache/0061a1dd31332cc1b712c8ab45540b2285add6f5d3c6617fccd6296334504e28.npz,8,1.0,1.5,,1.2288258750340901,2997,2773,2352,0,0,,newly_executed,9f5fd145d482439a67d7bcb635d1bb091514a091629d2f1c490e29307f79d5b2
new_candidate_optimization,results/stage6_v1/domain_wall_candidates/cache/00678229f93415bc449439bfa91ed384d3033c9ce72c55d736a643c434ecb79b.json,results/stage6_v1/domain_wall_candidates/cache/00678229f93415bc449439bfa91ed384d3033c9ce72c55d736a643c434ecb79b.npz,12,0.763,0.375,,3.604841583990492,1685,1472,4176,0,0,,newly_executed,74b02e55b379db54b2c27002617e7c1f6af02bc21e5b3d109adbb6faea1e9eae
new_candidate_optimization,results/stage6_v1/domain_wall_candidates/cache/00711302aa09d6cfc08efd63e0b247630bf94682e5ea96a17d65f9891430f36d.json,results/stage6_v1/domain_wall_candidates/cache/00711302aa09d6cfc08efd63e0b247630bf94682e5ea96a17d65f9891430f36d.npz,8,0.4,0.6000000000000001,,4.567739750025794,9989,9544,2832,0,0,,newly_executed,636e2f4ab62d39b1a436554b15fd19b8eb3dbdce09059fc1cd4eeb4c3ea404ff
